,precision,recall,f1-score,support
C0,0.24645971398674574,1.0,0.39545556301768525,3533.0
C1,0.0,0.0,0.0,3559.0
C2,0.0,0.0,0.0,3636.0
C3,1.0,0.004416229643941485,0.008793624622148942,3623.0
accuracy,0.24729983973242284,0.24729983973242284,0.24729983973242284,0.24729983973242284
macro avg,0.3116149284966864,0.25110405741098535,0.10106229690995855,14351.0
weighted avg,0.3131309434544751,0.24729983973242284,0.09957520773099629,14351.0
