,precision,recall,f1-score,support
C0,0.8652683967294703,0.6889329181998302,0.7670973841790104,3533.0
C1,0.7071636011616651,0.821017139645968,0.7598491743596412,3559.0
C2,0.7094941844738978,0.7213971397139713,0.7153961543706532,3636.0
C3,0.7756807764896199,0.7940932928512283,0.7847790507364976,3623.0
accuracy,0.7564629642533621,0.7564629642533621,0.7564629642533621,0.7564629642533621
macro avg,0.7644017397136633,0.7563601226027495,0.7567804409114506,14351.0
weighted avg,0.763974692366286,0.7564629642533621,0.756664566090198,14351.0
