,precision,recall,f1-score,support
0,0.80,0.84,0.82,56.00
1,0.86,0.79,0.82,56.00
2,0.82,0.82,0.82,57.00
3,0.80,0.82,0.81,57.00
accuracy,0.82,0.82,0.82,0.82
macro avg,0.82,0.82,0.82,226.00
weighted avg,0.82,0.82,0.82,226.00
